caso,intento,inicio_utc,inicio_epoch,fin_epoch,estado,latencia_ms,error
escribe-cruza,31,2026-09-20T23:53:58.002+00:00,1789948438.002737,1789948440.029640,error,2026.810,QueryCanceled: query execution canceled due to statement timeout
escribe-sj,41,2026-09-20T23:53:58.190+00:00,1789948438.190783,1789948440.061258,ok,1870.440,
lee-sj,42,2026-09-20T23:53:58.389+00:00,1789948438.389260,1789948440.072203,ok,1682.903,
lee-sj,43,2026-09-20T23:54:00.072+00:00,1789948440.072317,1789948440.073360,ok,1.008,
escribe-sj,42,2026-09-20T23:54:00.061+00:00,1789948440.061368,1789948440.095865,ok,34.453,
lee-moneda,51,2026-09-20T23:54:00.191+00:00,1789948440.191645,1789948440.192613,ok,0.909,
escribe-sj,43,2026-09-20T23:54:00.261+00:00,1789948440.261454,1789948440.284618,ok,23.092,
lee-sj,44,2026-09-20T23:54:00.272+00:00,1789948440.272386,1789948440.292618,ok,20.205,
lee-moneda,52,2026-09-20T23:54:00.391+00:00,1789948440.391718,1789948440.392617,ok,0.866,
escribe-sj,44,2026-09-20T23:54:00.461+00:00,1789948440.461532,1789948440.484221,ok,22.646,
lee-sj,45,2026-09-20T23:54:00.472+00:00,1789948440.472499,1789948440.492235,ok,19.710,
lee-moneda,53,2026-09-20T23:54:00.591+00:00,1789948440.591786,1789948440.592754,ok,0.921,
escribe-sj,45,2026-09-20T23:54:00.661+00:00,1789948440.661600,1789948440.680459,ok,18.817,
lee-sj,46,2026-09-20T23:54:00.672+00:00,1789948440.672566,1789948440.691613,ok,19.010,
lee-moneda,54,2026-09-20T23:54:00.791+00:00,1789948440.791858,1789948440.792812,ok,0.907,
escribe-sj,46,2026-09-20T23:54:00.861+00:00,1789948440.861670,1789948440.895991,ok,34.267,
lee-sj,47,2026-09-20T23:54:00.872+00:00,1789948440.872673,1789948440.907831,ok,35.131,
lee-moneda,55,2026-09-20T23:54:00.991+00:00,1789948440.991928,1789948440.992880,ok,0.919,
escribe-sj,47,2026-09-20T23:54:01.061+00:00,1789948441.061739,1789948441.085013,ok,23.238,
lee-sj,48,2026-09-20T23:54:01.072+00:00,1789948441.072779,1789948441.093271,ok,20.465,
lee-moneda,56,2026-09-20T23:54:01.192+00:00,1789948441.192001,1789948441.192987,ok,0.954,
escribe-sj,48,2026-09-20T23:54:01.261+00:00,1789948441.261846,1789948441.284920,ok,23.017,
lee-sj,49,2026-09-20T23:54:01.272+00:00,1789948441.272848,1789948441.293545,ok,20.667,
lee-moneda,57,2026-09-20T23:54:01.392+00:00,1789948441.392072,1789948441.393025,ok,0.921,
escribe-sj,49,2026-09-20T23:54:01.461+00:00,1789948441.461917,1789948441.484959,ok,22.968,
lee-sj,50,2026-09-20T23:54:01.472+00:00,1789948441.472958,1789948441.493043,ok,20.052,
lee-moneda,58,2026-09-20T23:54:01.592+00:00,1789948441.592144,1789948441.593108,ok,0.935,
lee-moneda,59,2026-09-20T23:54:01.792+00:00,1789948441.792222,1789948441.793101,ok,0.847,
lee-moneda,60,2026-09-20T23:54:01.992+00:00,1789948441.992304,1789948441.993286,ok,0.935,
lee-limon,32,2026-09-20T23:53:59.998+00:00,1789948439.998001,1789948442.000611,error,2002.572,QueryCanceled: query execution canceled due to statement timeout
escribe-sj,50,2026-09-20T23:54:01.662+00:00,1789948441.662050,1789948442.001626,ok,339.539,
escribe-limon,32,2026-09-20T23:54:00.005+00:00,1789948440.005484,1789948442.009436,error,2003.920,QueryCanceled: query execution canceled due to statement timeout
escribe-cruza,32,2026-09-20T23:54:00.029+00:00,1789948440.029770,1789948442.032522,error,2002.705,QueryCanceled: query execution canceled due to statement timeout
lee-limon,33,2026-09-20T23:54:02.001+00:00,1789948442.001348,1789948442.071035,ok,69.646,
lee-sj,51,2026-09-20T23:54:01.673+00:00,1789948441.673027,1789948442.085902,ok,412.799,
lee-moneda,61,2026-09-20T23:54:02.192+00:00,1789948442.192369,1789948442.193294,ok,0.892,
lee-moneda,62,2026-09-20T23:54:02.392+00:00,1789948442.392441,1789948442.393636,ok,1.152,
escribe-limon,33,2026-09-20T23:54:02.009+00:00,1789948442.009547,1789948442.481840,ok,472.255,
lee-limon,34,2026-09-20T23:54:02.201+00:00,1789948442.201413,1789948442.545128,ok,343.678,
lee-limon,35,2026-09-20T23:54:02.545+00:00,1789948442.545527,1789948442.547451,ok,1.850,
