intento,inicio_utc,inicio_epoch,fin_epoch,estado,folio,latencia_ms,error
262,2026-09-19T03:02:18.439+00:00,1789786938.439308,1789786938.444340,ok,261,5.000,
263,2026-09-19T03:02:18.639+00:00,1789786938.639383,1789786938.650298,ok,262,10.885,
264,2026-09-19T03:02:18.839+00:00,1789786938.839492,1789786938.844309,ok,263,4.791,
265,2026-09-19T03:02:19.039+00:00,1789786939.039563,1789786939.046540,ok,264,6.944,
266,2026-09-19T03:02:19.239+00:00,1789786939.239695,1789786939.253129,ok,265,13.396,
267,2026-09-19T03:02:19.439+00:00,1789786939.439767,1789786939.446989,ok,266,7.194,
268,2026-09-19T03:02:19.639+00:00,1789786939.639867,1789786939.647042,ok,267,7.149,
269,2026-09-19T03:02:19.839+00:00,1789786939.839949,1789786939.847444,ok,268,7.451,
270,2026-09-19T03:02:20.040+00:00,1789786940.040019,1789786940.047372,ok,269,7.324,
271,2026-09-19T03:02:20.240+00:00,1789786940.240128,1789786940.245257,ok,270,5.035,
272,2026-09-19T03:02:20.440+00:00,1789786940.440309,1789786940.447520,ok,271,7.181,
273,2026-09-19T03:02:20.640+00:00,1789786940.640383,1789786940.647972,ok,272,7.549,
274,2026-09-19T03:02:20.840+00:00,1789786940.840494,1789786940.847763,ok,273,7.241,
275,2026-09-19T03:02:21.040+00:00,1789786941.040562,1789786941.047889,ok,274,7.299,
276,2026-09-19T03:02:21.240+00:00,1789786941.240648,1789786941.245337,ok,275,4.657,
277,2026-09-19T03:02:21.440+00:00,1789786941.440732,1789786941.447934,ok,276,7.174,
278,2026-09-19T03:02:21.640+00:00,1789786941.640840,1789786941.648086,ok,277,7.220,
279,2026-09-19T03:02:21.840+00:00,1789786941.840960,1789786941.848252,ok,278,7.256,
280,2026-09-19T03:02:22.041+00:00,1789786942.041108,1789786942.046683,ok,279,5.546,
