ronda,orden,caso,operacion,localidad,motor,regiones_hogar,inicio_utc,latencia_ms,reintentos
20,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.292+00:00,1.435,0
20,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.293+00:00,0.179,0
20,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.294+00:00,0.161,0
21,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.294+00:00,0.159,0
21,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.294+00:00,0.158,0
21,3,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.294+00:00,1.359,0
21,4,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.296+00:00,1.546,0
22,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.297+00:00,0.196,0
22,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.297+00:00,0.164,0
22,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.298+00:00,1.312,0
22,4,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.299+00:00,1.372,0
23,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.300+00:00,0.170,0
23,2,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.300+00:00,1.500,0
23,3,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.302+00:00,1.452,0
23,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.303+00:00,0.207,0
24,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.304+00:00,0.165,0
24,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.304+00:00,0.160,0
24,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.304+00:00,1.500,0
24,4,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.305+00:00,1.541,0
25,1,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.307+00:00,1.428,0
25,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.308+00:00,0.172,0
